Species_ID,Name,Relation1,Identifier1,Relation2,Identifier2,Compartment,Type,Constant,InitialLevel,MaxLevel,Notes1,Comments
Cdc20,APC/C activator protein CDC20,is,uniprot:P26309,isHomologTo,uniprot:Q12834,cytosol,Internal,False,,,,
Cdh1,PC/C activator protein CDH1,is,uniprot:P53197,isHomologTo,uniprot:Q9UM11,cytosol,Internal,False,,,,
CycA,cdk2/Cyclin A,,,,,cytosol,Internal,False,,,,
CycB,,,,,,cytosol,Internal,False,,,,
CycD,cdk4/6-Cyclin D,,,,,cytosol,Input,False,,,,
CycE,cdk2/Cyclin E,,,,,cytosol,Internal,False,,,,
E2F,,,,,,cytosol,Internal,False,,,,
Rb,Retinoblastoma 1,is,uniprot:P06400,encodes,ncbigene:5925,cytosol,Internal,False,,,,
UbcH10,E2 ubiquitin conjugating enzyme UbcH10,is,uniprot:O00762,,,cytosol,Internal,False,,,,
p27,CDKN1B,is,uniprot:P46527,,,cytosol,Internal,False,,,,
